University,Common Name,Ticket Type,Ticket Price
Rutgers University,Rutgers,Exceeded Time Limit,20
Rutgers University,Rutgers,No Payment Made,30
Rutgers University,Rutgers,Vehicle Relocation Citation,100
Rutgers University,Rutgers,License Plate Not Displayed,25
Rutgers University,Rutgers,Failure to Obey Signs/Markings,20
Rutgers University,Rutgers,Closed Parking Lot,70
Rutgers University,Rutgers,Parking in Reserved/Guaranteed Stall,75
Rutgers University,Rutgers,Unauthorized Location,50
Rutgers University,Rutgers,No Rutgers Permission,50
Rutgers University,Rutgers,Failure to Move,20
Rutgers University,Rutgers,Outside of Marked Stall,20
Rutgers University,Rutgers,Parked in Fire Zone,150
Rutgers University,Rutgers,Driving/Parking in Prohibited Area,20
Rutgers University,Rutgers,Improper Use,100
Rutgers University,Rutgers,Parked in Handicapped Stall,250
Rutgers University,Rutgers,Improper Registration,100
University of Iowa,Iowa,Reserved for Handicap,200
University of Iowa,Iowa,Fraudulent Use of Permit,100
University of Iowa,Iowa,Employees Prohibited in Patient Parking - first five citations,50
University of Iowa,Iowa,Employees Prohibited in Patient Parking - sixth and more citations,75
University of Iowa,Iowa,Barnacle Fee,100
University of Iowa,Iowa,Students Prohibited in Patient Parking,30
University of Iowa,Iowa,Misuse of Parking Equipment,100
University of Iowa,Iowa,Prohibited Zone,100
University of Iowa,Iowa,Towing Fee,50
University of Iowa,Iowa,Loading Zone Employee,30
University of Iowa,Iowa,Loading Zone Student,25
University of Iowa,Iowa,Concurrent Parking Employee,40
University of Iowa,Iowa,Concurrent Parking Student,25
University of Iowa,Iowa,Area Not Open to Parking Employee,30
University of Iowa,Iowa,Area Not Open to Parking Student,20
University of Iowa,Iowa,Service Vehicle Zone,30
University of Iowa,Iowa,Motorcycles Prohibited Employee,30
University of Iowa,Iowa,Motorcycles Prohibited Student,15
University of Iowa,Iowa,Reserved Area Employee,30
University of Iowa,Iowa,Reserved Area Student,25
University of Iowa,Iowa,Other Violations Employee,30
University of Iowa,Iowa,Other Violation Student,15
University of Iowa,Iowa,License Plate Recognition (LPR) License Plate Obscured Employee,25
University of Iowa,Iowa,License Plate Recognition (LPR) License Plate Obscure Student,20
University of Iowa,Iowa,License Plate Recognition (LPR) License Plate Not Facing Lane Employee,30
University of Iowa,Iowa,License Plate Recognition (LPR) License Plate Not Facing Lane Student,20
University of Iowa,Iowa,Improper Display of Decal,15
University of Iowa,Iowa,Irregular Manner Employee,30
University of Iowa,Iowa,Irregular Manner Student,15
University of Iowa,Iowa,Expired Parking Session Employee,30
University of Iowa,Iowa,Expired Parking Session Student,15
University of Iowa,Iowa,Improper Display of Hangtag Employee,7
University of Iowa,Iowa,Improper Display of Hangtag Student,5
Northwestern University,Northwestern,No valid permit,50
Northwestern University,Northwestern,Unauthorized permit,50
Northwestern University,Northwestern,Altered permit,250
Northwestern University,Northwestern,Incorrect permit for lot,30
Northwestern University,Northwestern,Valid permit/hang tag not properly displayed,10
Northwestern University,Northwestern,Sticker not facing aisle,5
Northwestern University,Northwestern,Parked on walk or grass area,30
Northwestern University,Northwestern,"Blocking or obstructing traffic lanes, service areas, posted areas, hydrants",40
Northwestern University,Northwestern,Parking over lines or in two spaces,15
Northwestern University,Northwestern,Expired parking meter,15
Northwestern University,Northwestern,More than 20 minutes in a loading dock/zone,15
Northwestern University,Northwestern,Reserved space,100
Northwestern University,Northwestern,Handicapped space,250
Northwestern University,Northwestern,Posted fire lane,40
Northwestern University,Northwestern,Immobilization (booting),125
Northwestern University,Northwestern,Parking Garage Gate Arm Violation,250
Northwestern University,Northwestern,Passback violation,50
Purdue University,Purdue,No permit,35
Purdue University,Purdue,"Beyond marked space, i.e. outside white lines or beyond wheel stop",35
Purdue University,Purdue,Expired meter,35
Purdue University,Purdue,"Expired permit, i.e. physical permit being used beyond allowed date(s)",35
Purdue University,Purdue,"Improper permit display, i.e. license plate or Purdue-issued front plate not facing drive lane",35
Purdue University,Purdue,Parked along yellow curb,35
Purdue University,Purdue,Restricted as posted,35
Purdue University,Purdue,Expired plates,35
Purdue University,Purdue,"Loading zone violation, i.e. exceeding the allotted time in designated spaces",50
Purdue University,Purdue,Parked in front of fire hydrant,50
Purdue University,Purdue,Reserved spaces,100
Purdue University,Purdue,Improper use of ADA/handicap space,100
Purdue University,Purdue,Failure to pay fines/wheel lock,25
Purdue University,Purdue,Invalid permit (a physical permit that has been altered) + wheel lock,150
Purdue University,Purdue,"Athletic or special event vehicle relocate, less equipment",60
Purdue University,Purdue,"Athletic or special event vehicle relocate, more equipment",80
